2017-10-16 16:32:13 CDT ERROR:  missing FROM-clause entry for table "USER" at character 8
2017-10-16 16:43:31 CDT ERROR:  column "12" does not exist at character 204
2017-10-16 16:43:31 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USERS"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where ("EMPLOYEE"."businessID" = "12" and "USERS"."role" = "Owner") order by "USERS"."lastName" asc
2017-10-16 16:44:35 CDT ERROR:  missing FROM-clause entry for table "USER" at character 82
2017-10-16 16:44:35 CDT STATEMENT:  select "USERS"."firstName", "USERS"."lastName", "USERS"."email", "USERS"."role", "USER"."id" from "USERS" inner join "EMPLOYEE" on "USERS"."email" = "EMPLOYEE"."emplid" where "EMPLOYEE"."businessID" = $1 order by "USER"."lastName" asc
2017-10-16 17:10:13 CDT ERROR:  update or delete on table "USERS" violates foreign key constraint "fk-employee-emplid" on table "EMPLOYEE"
2017-10-16 17:10:13 CDT DETAIL:  Key (email)=(ex19@gmail.com) is still referenced from table "EMPLOYEE".
2017-10-16 17:10:13 CDT STATEMENT:  delete from "USERS" where "id" = $1
2017-10-16 17:34:13 CDT ERROR:  invalid input syntax for type timestamp with time zone: ""
2017-10-16 17:34:13 CDT STATEMENT:  insert into "SCAN" ("cardID", "timeStamp", "locationID", "businessID") values ($1, $2, $3, $4)
2017-10-16 17:35:40 CDT ERROR:  insert or update on table "SCAN" violates foreign key constraint "fk-location"
2017-10-16 17:35:40 CDT DETAIL:  Key (locationID, businessID)=(12, 4) is not present in table "LOCATION".
2017-10-16 17:35:40 CDT STATEMENT:  insert into "SCAN" ("cardID", "timeStamp", "locationID", "businessID") values ($1, $2, $3, $4)
2017-10-16 17:37:13 CDT ERROR:  duplicate key value violates unique constraint "SCAN_pkey"
2017-10-16 17:37:13 CDT DETAIL:  Key ("cardID", "timeStamp")=(patron4card         , 2004-10-19 03:23:54-05) already exists.
2017-10-16 17:37:13 CDT STATEMENT:  insert into "SCAN" ("cardID", "timeStamp", "locationID", "businessID") values ($1, $2, $3, $4)
2017-10-16 17:38:13 CDT ERROR:  duplicate key value violates unique constraint "SCAN_pkey"
2017-10-16 17:38:13 CDT DETAIL:  Key ("cardID", "timeStamp")=(patron4card         , 2017-10-19 03:23:54-05) already exists.
2017-10-16 17:38:13 CDT STATEMENT:  insert into "SCAN" ("cardID", "timeStamp", "locationID", "businessID") values ($1, $2, $3, $4)
2017-10-16 17:58:24 CDT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2017-10-16 17:58:24 CDT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2017-10-16 17:58:24 CDT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2017-10-16 17:58:24 CDT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2017-10-16 17:58:24 CDT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2017-10-16 17:58:24 CDT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
